"","location","error","Best_error","Worst_error","distance","number"
"112","attic",2407.0099622061,1789.66010393664,4255.02175239061,12,7
"113","attic",4982.84040510534,1789.66010393664,4255.02175239061,12,7
"114","attic",2094.27417845803,1789.66010393664,4255.02175239061,12,7
"115","attic",2897.15870817971,1789.66010393664,4255.02175239061,12,7
"116","attic",2446.80694662631,1789.66010393664,4255.02175239061,12,7
"117","attic",3553.69788768513,1789.66010393664,4255.02175239061,12,7
"118","attic",3890.28163939832,1789.66010393664,4255.02175239061,12,7
"119","attic",4346.7552934622,1789.66010393664,4255.02175239061,12,7
"120","attic",3560.21860857336,1789.66010393664,4255.02175239061,12,7
"121","attic",3690.95735443801,1789.66010393664,4255.02175239061,12,8
"122","attic",2397.63778131332,1789.66010393664,4255.02175239061,12,8
"123","attic",10342.218169021,1789.66010393664,4255.02175239061,12,8
"124","attic",3043.70102253619,1789.66010393664,4255.02175239061,12,8
"125","attic",2164.43681526656,1789.66010393664,4255.02175239061,12,8
"126","attic",4548.75871407441,1789.66010393664,4255.02175239061,12,8
"127","attic",3978.33409998691,1789.66010393664,4255.02175239061,12,8
"128","attic",5130.75975109985,1789.66010393664,4255.02175239061,12,8
"129","attic",3286.0876419973,1789.66010393664,4255.02175239061,12,8
"130","attic",7814.43747486198,1789.66010393664,4255.02175239061,12,8
"131","attic",4738.59641978907,1789.66010393664,4255.02175239061,12,9
"132","attic",4537.03098902516,1789.66010393664,4255.02175239061,12,9
"133","attic",5767.41418482178,1789.66010393664,4255.02175239061,12,9
"134","attic",2009.06947212703,1789.66010393664,4255.02175239061,12,9
"135","attic",3874.53758876142,1789.66010393664,4255.02175239061,12,9
"136","attic",2437.5385521557,1789.66010393664,4255.02175239061,12,9
"137","attic",3481.27161907522,1789.66010393664,4255.02175239061,12,9
"138","attic",11641.1622204176,1789.66010393664,4255.02175239061,12,9
"139","attic",2334.83165657368,1789.66010393664,4255.02175239061,12,9
"140","attic",2725.94484580454,1789.66010393664,4255.02175239061,12,9
"141","attic",2202.8751348871,1789.66010393664,4255.02175239061,12,10
"142","attic",2130.4185388591,1789.66010393664,4255.02175239061,12,10
"143","attic",4165.64928632995,1789.66010393664,4255.02175239061,12,10
"144","attic",3676.6690663582,1789.66010393664,4255.02175239061,12,10
"145","attic",9059.4790691962,1789.66010393664,4255.02175239061,12,10
"146","attic",6763.91892819087,1789.66010393664,4255.02175239061,12,10
"147","attic",3990.49137894172,1789.66010393664,4255.02175239061,12,10
"148","attic",4960.93562615932,1789.66010393664,4255.02175239061,12,10
"149","attic",2468.0100838107,1789.66010393664,4255.02175239061,12,10
