"","time","temperature"
"134",2021-08-07 14:00:00,NA
"135",2021-08-07 15:00:00,NA
"136",2021-08-07 16:00:00,NA
"137",2021-08-07 17:00:00,NA
"138",2021-08-07 18:00:00,NA
"139",2021-08-07 19:00:00,NA
"140",2021-08-07 20:00:00,NA
"141",2021-08-07 21:00:00,NA
"142",2021-08-07 22:00:00,NA
"143",2021-08-07 23:00:00,NA
"144",2021-08-08 00:00:00,NA
"145",2021-08-08 01:00:00,NA
"146",2021-08-08 02:00:00,16.80625
"147",2021-08-08 03:00:00,16.8258333333333
"148",2021-08-08 04:00:00,16.7233333333333
"149",2021-08-08 05:00:00,16.3583333333333
"150",2021-08-08 06:00:00,16.2533333333333
"151",2021-08-08 07:00:00,16.4083333333333
"152",2021-08-08 08:00:00,17.0625
"153",2021-08-08 09:00:00,17.6533333333333
"154",2021-08-08 10:00:00,19.0666666666667
"155",2021-08-08 11:00:00,20.8091666666667
"156",2021-08-08 12:00:00,22.0316666666667
"157",2021-08-08 13:00:00,23.2516666666667
"158",2021-08-08 14:00:00,23.7383333333333
"159",2021-08-08 15:00:00,24.5408333333333
"160",2021-08-08 16:00:00,24.3275
"161",2021-08-08 17:00:00,23.955
"162",2021-08-08 18:00:00,23.3
"163",2021-08-08 19:00:00,22.6283333333333
"164",2021-08-08 20:00:00,20.4383333333333
"165",2021-08-08 21:00:00,19.6058333333333
"166",2021-08-08 22:00:00,19.1183333333333
"167",2021-08-08 23:00:00,16.8808333333333
"168",2021-08-09 00:00:00,16.7758333333333
"169",2021-08-09 01:00:00,17.1366666666667
"170",2021-08-09 02:00:00,16.2025
"171",2021-08-09 03:00:00,15.3116666666667
"172",2021-08-09 04:00:00,14.3208333333333
"173",2021-08-09 05:00:00,13.2958333333333
"174",2021-08-09 06:00:00,13.49
"175",2021-08-09 07:00:00,14.9925
"176",2021-08-09 08:00:00,16.4066666666667
"177",2021-08-09 09:00:00,17.9708333333333
"178",2021-08-09 10:00:00,19.3908333333333
"179",2021-08-09 11:00:00,20.4933333333333
"180",2021-08-09 12:00:00,21.9883333333333
"181",2021-08-09 13:00:00,22.5283333333333
"182",2021-08-09 14:00:00,22.905
"183",2021-08-09 15:00:00,23.66
"184",2021-08-09 16:00:00,23.6891666666667
"185",2021-08-09 17:00:00,23.9841666666667
"186",2021-08-09 18:00:00,23.5916666666667
"187",2021-08-09 19:00:00,22.4341666666667
"188",2021-08-09 20:00:00,20.1466666666667
"189",2021-08-09 21:00:00,18.0175
"190",2021-08-09 22:00:00,16.5058333333333
"191",2021-08-09 23:00:00,14.9333333333333
"192",2021-08-10 00:00:00,14.8216666666667
"193",2021-08-10 01:00:00,13.9333333333333
"194",2021-08-10 02:00:00,14.1241666666667
"195",2021-08-10 03:00:00,14.06
"196",2021-08-10 04:00:00,14.3225
"197",2021-08-10 05:00:00,13.375
"198",2021-08-10 06:00:00,13.7925
"199",2021-08-10 07:00:00,16.9108333333333
"200",2021-08-10 08:00:00,18.5941666666667
"201",2021-08-10 09:00:00,18.2608333333333
"202",2021-08-10 10:00:00,17.9033333333333
"203",2021-08-10 11:00:00,18.045
"204",2021-08-10 12:00:00,19.5875
"205",2021-08-10 13:00:00,20.7066666666667
"206",2021-08-10 14:00:00,21.4425
"207",2021-08-10 15:00:00,19.9333333333333
"208",2021-08-10 16:00:00,19.4141666666667
"209",2021-08-10 17:00:00,20.6116666666667
"210",2021-08-10 18:00:00,21.3958333333333
"211",2021-08-10 19:00:00,20.63
"212",2021-08-10 20:00:00,18.4858333333333
"213",2021-08-10 21:00:00,16.1625
"214",2021-08-10 22:00:00,14.5075
"215",2021-08-10 23:00:00,13.6325
"216",2021-08-11 00:00:00,14.1633333333333
"217",2021-08-11 01:00:00,14.9825
"218",2021-08-11 02:00:00,15.5983333333333
"219",2021-08-11 03:00:00,15.4433333333333
"220",2021-08-11 04:00:00,14.8241666666667
"221",2021-08-11 05:00:00,13.9966666666667
"222",2021-08-11 06:00:00,14.055
"223",2021-08-11 07:00:00,15.3275
"224",2021-08-11 08:00:00,16.7041666666667
"225",2021-08-11 09:00:00,17.8683333333333
"226",2021-08-11 10:00:00,18.8908333333333
"227",2021-08-11 11:00:00,19.7558333333333
"228",2021-08-11 12:00:00,20.3875
"229",2021-08-11 13:00:00,21.1366666666667
"230",2021-08-11 14:00:00,22.295
"231",2021-08-11 15:00:00,22.5466666666667
"232",2021-08-11 16:00:00,22.5308333333333
"233",2021-08-11 17:00:00,22.9591666666667
"234",2021-08-11 18:00:00,22.5866666666667
"235",2021-08-11 19:00:00,21.7408333333333
"236",2021-08-11 20:00:00,19.3333333333333
"237",2021-08-11 21:00:00,16.7233333333333
"238",2021-08-11 22:00:00,14.1733333333333
"239",2021-08-11 23:00:00,12.915
"240",2021-08-12 00:00:00,12.3375
"241",2021-08-12 01:00:00,11.705
"242",2021-08-12 02:00:00,11.3508333333333
"243",2021-08-12 03:00:00,10.9875
"244",2021-08-12 04:00:00,10.4041666666667
"245",2021-08-12 05:00:00,10.07
